Species	Phylum	Order	Genus	TaxID	Num_Prot	niacin_synthesis	nadB_niacin_asp	nadA_niacin_asp	nadC_niacin_asp	kmo_niacin_trp	hpaB_niacin_trp	kynu_niacin_trp	had_niacin_trp
Hymenobacter sp. MIMtkLc17	Bacteroidetes	Cytophagales	Hymenobacter	1629124	5123	0	1	0	1	1	0	1	1
Roseburia intestinalis	Firmicutes	Clostridiales	Roseburia	166486	3468	1	1	1	1	0	0	0	0
Pseudomonas sp. BRG-100	Proteobacteria	Pseudomonadales	Pseudomonas	1524267	9095	1	1	1	1	0	0	1	0
Streptomyces himastatinicus	Actinobacteria	Streptomycetales	Streptomyces	998084	7938	1	1	1	1	1	0	1	0
Thermus aquaticus	Deinococcus-Thermus	Thermales	Thermus	271	7225	1	1	1	1	0	1	0	0
Thermus thermophilus	Deinococcus-Thermus	Thermales	Thermus	274	11489	1	1	1	1	0	1	0	0
Thermus filiformis	Deinococcus-Thermus	Thermales	Thermus	276	4486	1	1	1	1	0	1	0	0
Meiothermus ruber	Deinococcus-Thermus	Thermales	Meiothermus	277	7721	0	1	0	0	0	1	1	0
Listeria fleischmannii	Firmicutes	Bacillales	Listeria	1069827	6943	0	1	0	0	0	0	0	0
Clostridium sp. 12(A)	Firmicutes	Clostridiales	Clostridium	1163671	3804	0	0	0	0	0	1	0	0
Bacteroides sp. 14(A)	Bacteroidetes	Bacteroidales	Bacteroides	1163670	2933	0	1	0	0	0	0	0	0
Enterobacteriaceae bacterium LSJC7	Proteobacteria	Enterobacteriales	root	1224136	4061	1	1	1	1	0	1	0	0
Streptomyces sp. JHA19	Actinobacteria	Streptomycetales	Streptomyces	1577588	6610	1	1	1	1	0	0	1	0
Marinomonas mediterranea	Proteobacteria	Oceanospirillales	Marinomonas	119864	4087	1	1	1	1	1	0	1	0
Mesotoga prima	Thermotogae	Kosmotogales	Mesotoga	1184387	4001	0	1	0	0	0	0	0	0
Actinoplanes rectilineatus	Actinobacteria	Micromonosporales	Actinoplanes	113571	8784	1	1	1	1	1	0	1	0
Bacillus sp. NRRL B-41092	Firmicutes	Bacillales	Bacillus	1793964	5917	1	1	1	1	0	1	1	0
Cellulomonas sp. URHD0024	Actinobacteria	Micrococcales	Cellulomonas	1302620	3875	1	1	1	1	0	0	1	0
Burkholderia kururiensis	Proteobacteria	Burkholderiales	Burkholderia	984307	11451	1	1	1	1	0	0	1	0
Bacillus sp. NRRL B-41091	Firmicutes	Bacillales	Bacillus	1793963	5499	1	1	1	1	0	1	1	0
bacterium SM23_31	root	root	root	1703762	2294	0	1	0	1	0	0	1	0
candidate division BRC1 bacterium SM23_51	root	root	root	1703761	2061	0	1	0	0	0	0	0	0
Brachybacterium muris	Actinobacteria	Micrococcales	Brachybacterium	219301	2734	0	1	0	0	0	0	0	0
Micromonospora sp. ATCC 39149	Actinobacteria	Micromonosporales	Micromonospora	219305	10728	1	1	1	1	1	0	1	1
Caulobacter sp. UNC358MFTsu5.1	Proteobacteria	Caulobacterales	Caulobacter	1449049	4754	1	1	1	1	0	0	0	0
Mycobacterium sp. UNC280MFTsu5.1	Actinobacteria	Corynebacteriales	Mycobacterium	1449048	3315	0	1	0	1	1	0	0	0
Bacillus sp. UNC322MFChir4.1	Firmicutes	Bacillales	Bacillus	1449045	4640	1	1	1	1	0	0	1	0
Arthrobacter sp. UNC362MFTsu5.1	Actinobacteria	Micrococcales	Arthrobacter	1449044	4175	1	1	1	1	1	1	1	0
Bacillus sp. UNC41MFS5	Firmicutes	Bacillales	Bacillus	1449046	5822	1	1	1	1	0	1	1	1
Ammonifex degensii	Firmicutes	Thermoanaerobacterales	Ammonifex	42838	2105	1	1	1	1	0	0	0	0
Citromicrobium sp. RCC1885	Proteobacteria	Sphingomonadales	Citromicrobium	1647104	3090	1	1	1	1	0	0	1	0
Clostridium chauvoei	Firmicutes	Clostridiales	Clostridium	46867	2599	0	1	0	0	0	0	0	0
Citromicrobium sp. RCC1878	Proteobacteria	Sphingomonadales	Citromicrobium	1647103	3086	1	1	1	1	0	0	1	0
Chryseobacterium sp. OV705	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500289	4445	1	1	1	1	1	0	0	0
Chryseobacterium sp. YR005	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500288	2045	0	0	1	0	0	0	0	0
Chryseobacterium sp. OV715	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500287	3983	1	1	1	1	1	0	0	0
Chryseobacterium sp. OV259	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500286	2758	1	1	1	1	0	0	0	0
Lechevalieria aerocolonigenes	Actinobacteria	Pseudonocardiales	Lechevalieria	68170	26947	1	1	1	1	1	1	1	1
Chryseobacterium sp. CF356	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500283	3330	1	1	1	1	0	0	0	0
Chryseobacterium sp. CF365	Bacteroidetes	Flavobacteriales	Chryseobacterium	1500282	4353	1	1	1	1	1	0	0	0
Herbiconiux sp. YR403	Actinobacteria	Micrococcales	Herbiconiux	1500280	3146	1	1	1	1	0	0	1	0
Lactobacillus parafarraginis	Firmicutes	Lactobacillales	Lactobacillus	390842	4869	1	1	1	1	0	0	0	0
Planococcus maritimus	Firmicutes	Bacillales	Planococcus	192421	3118	1	1	1	1	0	0	1	0
Lactobacillus farraginis	Firmicutes	Lactobacillales	Lactobacillus	390841	2299	1	1	1	1	0	0	0	0
Terrisporobacter glycolicus	Firmicutes	Clostridiales	Terrisporobacter	36841	3753	1	1	1	1	0	0	0	0
Ruegeria sp. 6PALISEP08	Proteobacteria	Rhodobacterales	Ruegeria	1225660	4190	1	1	1	1	0	0	1	1
Oxobacter pfennigii	Firmicutes	Clostridiales	Oxobacter	36849	8391	1	1	1	1	0	0	0	0
Streptomyces violaceusniger	Actinobacteria	Streptomycetales	Streptomyces	68280	24761	1	1	1	1	1	0	1	1
Pseudoalteromonas sp. 13-15	Proteobacteria	Alteromonadales	Pseudoalteromonas	1761891	3684	1	1	1	1	0	0	1	0
Pseudoalteromonas sp. 10-33	Proteobacteria	Alteromonadales	Pseudoalteromonas	1761890	6421	1	1	1	1	0	0	1	0
Pseudoalteromonas sp. H103	Proteobacteria	Alteromonadales	Pseudoalteromonas	1761893	7423	1	1	1	1	0	0	0	0
Amycolatopsis japonica	Actinobacteria	Pseudonocardiales	Amycolatopsis	208439	15676	1	1	1	1	1	1	1	0
Stenotrophomonas pavanii	Proteobacteria	Xanthomonadales	Stenotrophomonas	487698	5989	0	1	0	1	1	0	1	1
Arthrobacter sp. NIO-1057	Actinobacteria	Micrococcales	Arthrobacter	993071	6255	1	1	1	1	0	0	1	0
Acinetobacter indicus	Proteobacteria	Pseudomonadales	Acinetobacter	756892	6763	1	1	1	1	0	0	0	0
Thauera sp. 28	Proteobacteria	Rhodocyclales	Thauera	303682	6474	1	1	1	1	0	0	0	0
Halomonas sp. PR-M31	Proteobacteria	Oceanospirillales	Halomonas	1471202	3089	1	1	1	1	0	0	0	0
Acetobacter syzygii	Proteobacteria	Rhodospirillales	Acetobacter	146476	2352	1	1	1	1	0	0	0	0
Parasutterella excrementihominis CAG:233	Proteobacteria	Burkholderiales	Parasutterella	1263099	2227	0	1	0	0	0	0	0	0
Acetobacter orientalis	Proteobacteria	Rhodospirillales	Acetobacter	146474	2490	1	1	1	1	0	0	0	0
Acetobacter cibinongensis	Proteobacteria	Rhodospirillales	Acetobacter	146475	2627	1	1	1	1	0	0	0	0
Odoribacter splanchnicus CAG:14	Bacteroidetes	Bacteroidales	Odoribacter	1263090	3227	1	1	1	1	0	1	0	0
Parabacteroides johnsonii CAG:246	Bacteroidetes	Bacteroidales	Parabacteroides	1263091	2940	1	1	1	1	0	0	0	0
Parabacteroides merdae CAG:48	Bacteroidetes	Bacteroidales	Parabacteroides	1263094	2963	1	1	1	1	0	0	0	0
Paraprevotella clara CAG:116	Bacteroidetes	Bacteroidales	Paraprevotella	1263095	2846	1	1	1	1	0	0	0	0
Streptomyces sp. NRRL S-241	Actinobacteria	Streptomycetales	Streptomyces	1463896	4844	0	1	0	0	1	1	1	1
Streptomyces sp. NRRL S-244	Actinobacteria	Streptomycetales	Streptomyces	1463897	5541	1	1	1	1	0	0	1	0
Streptomyces sp. NRRL S-237	Actinobacteria	Streptomycetales	Streptomyces	1463895	6913	0	1	0	1	1	0	1	0
Streptomyces sp. NRRL S-1868	Actinobacteria	Streptomycetales	Streptomyces	1463892	4103	1	1	1	1	0	0	0	1
Streptomyces sp. NRRL S-31	Actinobacteria	Streptomycetales	Streptomyces	1463898	6805	1	1	1	1	0	0	1	0
Streptomyces sp. NRRL S-325	Actinobacteria	Streptomycetales	Streptomyces	1463899	2426	0	0	1	0	1	0	1	0
Firmicutes bacterium CAG:534	Firmicutes	root	root	1263027	2498	0	0	0	0	0	0	0	0
Succinimonas amylolytica	Proteobacteria	Aeromonadales	Succinimonas	83769	2864	1	1	1	1	0	0	0	0
Oscillibacter ruminantium	Firmicutes	Clostridiales	Oscillibacter	1263547	2804	0	0	0	0	0	0	0	0
Bordetella bronchiseptica	Proteobacteria	Burkholderiales	Bordetella	518	58893	1	1	1	1	0	0	1	1
Firmicutes bacterium CAG:41	Firmicutes	root	root	1263021	2446	1	1	1	1	0	0	0	0
Devosia sp. LC5	Proteobacteria	Rhizobiales	Devosia	1502724	8065	1	1	1	1	0	0	0	0
bacterium F083	root	root	root	1768114	3305	1	1	1	1	0	0	0	0
bacterium P3	root	root	root	1768113	2776	1	1	1	1	0	0	0	0
Frankia sp. CpI1-S	Actinobacteria	Frankiales	Frankia	1502723	8157	1	1	1	1	1	0	0	0
Luteimonas mephitis	Proteobacteria	Xanthomonadales	Luteimonas	83615	2925	0	1	0	1	1	0	1	1
Stenotrophomonas nitritireducens	Proteobacteria	Xanthomonadales	Stenotrophomonas	83617	3866	0	1	0	1	1	0	1	1
Nocardioides halotolerans	Actinobacteria	Propionibacteriales	Nocardioides	433660	4484	1	1	1	1	0	0	1	0
Aphanizomenon flos-aquae	Cyanobacteria	Nostocales	Aphanizomenon	1176	7748	1	1	1	1	0	0	0	0
Coprobacter secundus	Bacteroidetes	Bacteroidales	Coprobacter	1501392	5802	1	1	1	1	0	0	0	0
Alistipes inops	Bacteroidetes	Bacteroidales	Alistipes	1501391	3536	1	1	1	1	0	0	0	0
Bradyrhizobium sp. WSM471	Proteobacteria	Rhizobiales	Bradyrhizobium	319017	13357	1	1	1	1	1	0	1	0
Rhodanobacter thiooxydans	Proteobacteria	Xanthomonadales	Rhodanobacter	416169	3353	1	1	1	1	1	0	1	1
Mycobacterium sp. 155	Actinobacteria	Corynebacteriales	Mycobacterium	1157943	4031	1	1	1	1	1	0	0	0
Arthrobacter sp. 131MFCol6.1	Actinobacteria	Micrococcales	Arthrobacter	1157944	3120	1	1	1	1	0	1	1	0
Brevibacterium sp. VCM10	Actinobacteria	Micrococcales	Brevibacterium	1381751	3165	1	1	1	1	0	0	1	0
Streptomyces sp. Tu 6176	Actinobacteria	Streptomycetales	Streptomyces	1470557	10758	0	1	1	0	1	0	1	1
Rhodobacteraceae bacterium HIMB11	Proteobacteria	Rhodobacterales	root	1366046	6232	0	1	0	0	1	0	1	0
Aminiphilus circumscriptus	Synergistetes	Synergistales	Aminiphilus	290732	2734	0	0	0	0	0	0	1	0
Cupriavidus sp. SK-3	Proteobacteria	Burkholderiales	Cupriavidus	1470558	12565	1	1	1	1	0	1	1	0
Pseudoalteromonas sp. SCSIO_11900	Proteobacteria	Alteromonadales	Pseudoalteromonas	1461766	5584	1	1	1	1	0	0	1	0
Jeotgalibacillus soli Cunha et al. 2012	Firmicutes	Bacillales	Jeotgalibacillus	889306	7424	0	1	0	0	0	0	0	0
Lacinutrix jangbogonensis	Bacteroidetes	Flavobacteriales	Lacinutrix	1469557	3259	0	1	0	1	1	0	1	1
Solirubrobacter sp. URHD0082	Actinobacteria	Solirubrobacterales	Solirubrobacter	1298857	6166	1	1	1	1	0	0	1	0
Novosphingobium sp. B-7	Proteobacteria	Sphingomonadales	Novosphingobium	1298855	2426	0	1	0	1	1	0	0	0
Shigella dysenteriae	Proteobacteria	Enterobacteriales	Shigella	622	8124	1	1	1	1	0	1	0	0
Rhizobium sp. 42MFCr.1	Proteobacteria	Rhizobiales	Rhizobium	1048680	4680	1	1	1	1	0	0	0	0
Candidatus Tenderia electrophaga	Proteobacteria	Chromatiales	Candidatus Tenderia	1748243	3348	1	1	1	1	0	0	0	0
Mesorhizobium sp. URHA0056	Proteobacteria	Rhizobiales	Mesorhizobium	1298858	5807	0	1	0	0	0	1	1	0
Burkholderia sp. URHA0054	Proteobacteria	Burkholderiales	Burkholderia	1298859	3798	0	1	0	1	0	0	1	0
Bacillus sp. CPSM8	Firmicutes	Bacillales	Bacillus	1202457	5324	1	1	1	1	0	0	1	0
Arthrobacter sp. YC-RL1	Actinobacteria	Micrococcales	Arthrobacter	1652545	9742	1	1	1	1	0	1	1	0
Marinobacter hydrocarbonoclasticus	Proteobacteria	Alteromonadales	Marinobacter	2743	5083	0	0	1	1	0	0	0	0
Actinomyces sp. oral taxon 414	Actinobacteria	Actinomycetales	Actinomyces	712122	5293	0	1	0	0	0	0	0	0
Pseudoxanthomonas sp. Root65	Proteobacteria	Xanthomonadales	Pseudoxanthomonas	1736576	6817	0	1	0	1	1	0	1	1
Rhizobium sp. Root651	Proteobacteria	Rhizobiales	Rhizobium	1736577	5388	1	1	1	1	1	1	0	0
Pseudoxanthomonas sp. Root630	Proteobacteria	Xanthomonadales	Pseudoxanthomonas	1736574	7852	1	1	1	1	1	0	1	1
Devosia sp. Root635	Proteobacteria	Rhizobiales	Devosia	1736575	7085	1	1	1	1	0	0	0	0
Rhodanobacter sp. Root627	Proteobacteria	Xanthomonadales	Rhodanobacter	1736572	5584	1	1	1	1	1	0	1	1
Streptomyces sp. Root63	Actinobacteria	Streptomycetales	Streptomyces	1736573	7937	1	1	1	1	1	0	1	1
Microbacterium sp. Root61	Actinobacteria	Micrococcales	Microbacterium	1736570	7252	1	1	1	1	1	0	1	0
Nocardioides sp. Root614	Actinobacteria	Propionibacteriales	Nocardioides	1736571	4864	1	1	1	1	0	0	1	0
Curvibacter putative symbiont of Hydra magnipapillata	Proteobacteria	Burkholderiales	Curvibacter	667019	4011	1	1	1	1	0	0	1	0
Caulobacter sp. Root655	Proteobacteria	Caulobacterales	Caulobacter	1736578	8853	1	1	1	1	0	0	0	0
Caulobacter sp. Root656	Proteobacteria	Caulobacterales	Caulobacter	1736579	9218	1	1	1	1	0	0	0	0
Xenorhabdus nematophila	Proteobacteria	Enterobacteriales	Xenorhabdus	628	11055	0	1	0	0	0	1	0	0
Halomonas elongata	Proteobacteria	Oceanospirillales	Halomonas	2746	3653	1	1	1	1	0	0	1	0
Ornithinibacillus scapharcae	Firmicutes	Bacillales	Ornithinibacillus	1147159	3586	0	1	0	0	0	1	1	0
Delftia tsuruhatensis	Proteobacteria	Burkholderiales	Delftia	180282	16066	1	1	1	1	0	1	1	0
Cyanobium sp. PCC 7001	Cyanobacteria	Chroococcales	Cyanobium	180281	5401	1	1	1	1	1	0	0	0
Flavihumibacter petaseus	Bacteroidetes	Sphingobacteriales	Flavihumibacter	549295	4774	1	1	1	1	0	0	1	0
Aeromonas popoffii	Proteobacteria	Aeromonadales	Aeromonas	70856	4010	1	1	1	1	0	0	0	0
Pseudomonas sp. CFII68	Proteobacteria	Pseudomonadales	Pseudomonas	911243	8695	1	1	1	1	0	0	0	0
Thioalkalivibrio sulfidiphilus	Proteobacteria	Chromatiales	Thioalkalivibrio	1033854	5811	1	1	1	1	0	0	0	0
Streptomyces sp. NBRC 110030	Actinobacteria	Streptomycetales	Streptomyces	1550033	2786	0	1	0	0	1	0	1	0
Frankia sp. CcI6	Actinobacteria	Frankiales	Frankia	1352929	5370	1	1	1	1	1	1	0	0
Rhizobium phaseoli	Proteobacteria	Rhizobiales	Rhizobium	396	4370	0	1	1	0	0	0	0	0
Cylindrospermopsis raciborskii	Cyanobacteria	Nostocales	Cylindrospermopsis	77022	5229	1	1	1	1	0	0	0	0
Neorhizobium galegae	Proteobacteria	Rhizobiales	Neorhizobium	399	47565	1	1	1	1	1	1	1	0
Rhizobium tropici	Proteobacteria	Rhizobiales	Rhizobium	398	19775	1	1	1	1	1	1	1	1
Halothermothrix orenii	Firmicutes	Halanaerobiales	Halothermothrix	31909	2347	1	1	1	1	0	0	0	0
Frankia sp. CeD	Actinobacteria	Frankiales	Frankia	258230	6492	1	1	1	1	0	1	0	0
Leisingera aquaemixtae	Proteobacteria	Rhodobacterales	Leisingera	1396826	8322	1	1	1	1	0	0	1	0
Roseivivax halodurans	Proteobacteria	Rhodobacterales	Roseivivax	93683	4080	0	1	0	0	1	0	1	0
Bartonella sp. DB5-6	Proteobacteria	Rhizobiales	Bartonella	1094755	3606	0	1	0	0	0	0	0	0
Alicyclobacillus acidocaldarius	Firmicutes	Bacillales	Alicyclobacillus	405212	8293	1	1	1	1	0	1	0	0
Sulfurovum sp. AR	Proteobacteria	root	Sulfurovum	1165841	4201	1	1	1	1	0	0	0	0
Leptospira terpstrae	Spirochaetes	root	Leptospira	293075	3647	1	1	1	1	0	0	0	0
Enterobacter sp. EGD-HP1	Proteobacteria	Enterobacteriales	Enterobacter	1357268	7103	1	1	1	1	0	1	0	0
Phaeobacter sp. CECT 5382	Proteobacteria	Rhodobacterales	Phaeobacter	1712645	3704	1	1	1	1	0	0	1	0
Photobacterium swingsii	Proteobacteria	Vibrionales	Photobacterium	680026	8244	1	1	1	1	0	0	0	0
Cupriavidus sp. IDO	Proteobacteria	Burkholderiales	Cupriavidus	1539142	13731	1	1	1	1	1	1	1	0
Cupriavidus sp. SHE	Proteobacteria	Burkholderiales	Cupriavidus	1539143	6541	1	1	1	1	0	0	1	1
Sulfurospirillum arcachonense	Proteobacteria	Campylobacterales	Sulfurospirillum	57666	2582	1	1	1	1	0	0	0	0
Thiomicrospira sp. Milos-T1	Proteobacteria	Thiotrichales	Thiomicrospira	90813	2116	1	1	1	1	0	0	0	0
Thiomicrospira sp. Milos-T2	Proteobacteria	Thiotrichales	Thiomicrospira	90814	2228	1	1	1	1	0	0	0	0
Brevibacillus agri	Firmicutes	Bacillales	Brevibacillus	51101	3780	0	0	1	0	1	0	1	0
Jiangella muralis	Actinobacteria	Jiangellales	Jiangella	702383	6281	1	1	1	1	0	1	1	0
Streptomyces sp. NRRL WC-3604	Actinobacteria	Streptomycetales	Streptomyces	1609102	6573	1	1	1	1	0	0	1	0
Streptomyces sp. NRRL WC-3605	Actinobacteria	Streptomycetales	Streptomyces	1609103	6577	1	1	1	1	0	0	1	0
Streptomyces sp. NRRL S-1521	Actinobacteria	Streptomycetales	Streptomyces	1609100	6868	1	1	1	1	1	0	1	0
Streptomyces sp. NRRL B-1568	Actinobacteria	Streptomycetales	Streptomyces	1609106	5313	0	1	0	1	1	0	0	0
Clostridium dakarense	Firmicutes	Clostridiales	Clostridium	1301100	3333	0	0	0	0	0	0	0	0
Streptomyces sp. NRRL WC-3753	Actinobacteria	Streptomycetales	Streptomyces	1609104	14223	1	1	1	1	1	1	1	1
Vibrio sp. 16	Proteobacteria	Vibrionales	Vibrio	391586	6453	1	1	1	1	0	0	0	0
Candidatus Entotheonella sp. TSY1	Candidatus Tectomicrobia	root	Candidatus Entotheonella	1429438	8437	1	1	1	1	1	1	1	1
Candidatus Entotheonella sp. TSY2	Candidatus Tectomicrobia	root	Candidatus Entotheonella	1429439	8988	1	1	1	1	1	1	1	1
Leptospira borgpetersenii	Spirochaetes	root	Leptospira	174	16472	1	1	1	1	0	0	0	0
Leptospira interrogans	Spirochaetes	root	Leptospira	173	95465	1	1	1	1	0	0	0	0
Leptospira biflexa	Spirochaetes	root	Leptospira	172	3683	1	1	1	1	0	0	0	0
Bradyrhizobium sp. DOA1	Proteobacteria	Rhizobiales	Bradyrhizobium	1126616	11713	1	1	1	1	1	0	1	0
Perlucidibaca piscinae	Proteobacteria	Pseudomonadales	Perlucidibaca	392589	2241	1	1	1	1	0	0	0	0
Oscillatoria acuminata	Cyanobacteria	Oscillatoriales	Oscillatoria	118323	5729	1	1	1	1	1	0	0	0
Lyngbya aestuarii	Cyanobacteria	Oscillatoriales	Lyngbya	118322	5023	1	1	1	1	1	0	0	0
Neisseria sp. 83E34	Proteobacteria	Neisseriales	Neisseria	1692264	4245	1	1	1	1	0	0	0	0
Methylobacterium platani	Proteobacteria	Rhizobiales	Methylobacterium	427683	21668	1	1	1	1	1	0	0	0
Hyphomonas hirschiana VP5	Proteobacteria	Rhodobacterales	Hyphomonas	1280951	3503	1	1	1	1	1	0	1	0
Vibrio scophthalmi	Proteobacteria	Vibrionales	Vibrio	45658	3596	1	1	1	1	0	0	0	0
Kiloniella laminariae	Proteobacteria	Kiloniellales	Kiloniella	454162	4052	1	1	1	1	1	0	0	0
Labrenzia alexandrii	Proteobacteria	Rhodobacterales	Labrenzia	388408	14009	1	1	1	1	0	0	1	0
Cupriavidus pinatubonensis	Proteobacteria	Burkholderiales	Cupriavidus	248026	6319	1	1	1	1	0	1	1	1
Actinocatenispora sera	Actinobacteria	Micromonosporales	Actinocatenispora	390989	5983	1	1	1	1	1	0	1	0
Thermodesulfatator atlanticus	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfatator	501497	2147	1	1	1	1	0	0	0	0
Pseudoxanthomonas spadix	Proteobacteria	Xanthomonadales	Pseudoxanthomonas	415229	2974	0	1	0	1	1	0	1	1
Salinivibrio sp. KP-1	Proteobacteria	Vibrionales	Salinivibrio	1406902	6072	1	1	1	1	0	0	0	0
Acinetobacter tandoii	Proteobacteria	Pseudomonadales	Acinetobacter	202954	2952	0	0	0	1	0	0	0	0
Acinetobacter tjernbergiae	Proteobacteria	Pseudomonadales	Acinetobacter	202955	3213	1	1	1	1	0	0	0	0
Acinetobacter towneri	Proteobacteria	Pseudomonadales	Acinetobacter	202956	2459	1	1	1	1	0	0	0	0
Acinetobacter bouvetii	Proteobacteria	Pseudomonadales	Acinetobacter	202951	3080	1	1	1	1	0	0	0	0
Acinetobacter gerneri	Proteobacteria	Pseudomonadales	Acinetobacter	202952	4042	1	1	1	1	1	0	0	0
Olleya sp. ITB9	Bacteroidetes	Flavobacteriales	Olleya	1715648	2293	0	1	0	1	1	0	1	1
Rhodobacteraceae bacterium HTCC2150	Proteobacteria	Rhodobacterales	root	388401	7037	0	1	0	0	0	1	1	0
Gemmatimonas aurantiaca	Gemmatimonadetes	Gemmatimonadales	Gemmatimonas	173480	3885	1	1	1	1	1	0	1	0
Bacillus sp. B14905	Firmicutes	Bacillales	Bacillus	388400	7922	1	1	1	1	0	1	0	0
Clostridium colicanis	Firmicutes	Clostridiales	Clostridium	179628	5413	0	0	0	0	0	0	0	0
Exiguobacterium acetylicum	Firmicutes	Bacillales	Exiguobacterium	41170	6687	1	1	1	1	0	0	1	0
Roseovarius atlanticus	Proteobacteria	Rhodobacterales	Roseovarius	1641875	8517	0	1	0	0	1	0	0	0
Paenibacillus sp. JCM 10914	Firmicutes	Bacillales	Paenibacillus	1236974	10663	1	1	1	1	0	1	0	0
[Clostridium] termitidis	Firmicutes	Clostridiales	Ruminiclostridium	29371	4693	1	1	1	1	0	0	0	0
Opitutus terrae	Verrucomicrobia	Opitutales	Opitutus	107709	4495	1	1	1	1	0	0	0	0
Thalassobius gelatinovorus	Proteobacteria	Rhodobacterales	Thalassobius	53501	7446	1	1	1	1	0	0	1	0
Amycolatopsis halophila	Actinobacteria	Pseudonocardiales	Amycolatopsis	1069073	4822	1	1	1	1	1	1	1	0
Prevotella stercorea	Bacteroidetes	Bacteroidales	Prevotella	363265	2252	1	1	1	1	0	0	0	0
Amycolatopsis lurida NRRL 2430	Actinobacteria	Pseudonocardiales	Amycolatopsis	1460371	8125	1	1	1	1	1	1	1	1
Haliangium ochraceum	Proteobacteria	Myxococcales	Haliangium	80816	6603	1	1	1	1	0	0	1	0
Salinispora arenicola	Actinobacteria	Micromonosporales	Salinispora	168697	69954	1	1	1	1	1	1	1	1
Clostridium sp. KNHs209	Firmicutes	Clostridiales	Clostridium	1469948	4005	1	1	1	1	0	0	0	0
Salinispora tropica	Actinobacteria	Micromonosporales	Salinispora	168695	12172	1	1	1	1	1	1	1	1
Aeromonas molluscorum	Proteobacteria	Aeromonadales	Aeromonas	271417	3472	1	1	1	1	0	0	0	0
Corynebacterium testudinoris	Actinobacteria	Corynebacteriales	Corynebacterium	136857	5019	0	1	0	1	0	1	0	0
Streptococcus dentasini	Firmicutes	Lactobacillales	Streptococcus	1080072	1999	0	1	0	0	0	0	0	0
Polaromonas sp. EUR3 1.2.1	Proteobacteria	Burkholderiales	Polaromonas	1305734	3842	1	1	1	1	0	0	0	0
Oceanicola sp. HL-35	Proteobacteria	Rhodobacterales	Oceanicola	1305735	3981	0	1	0	0	0	0	1	1
Methylobacterium sp. EUR3 AL-11	Proteobacteria	Rhizobiales	Methylobacterium	1305730	2537	0	1	1	0	0	0	0	0
Rhodococcus sp. SC4	Actinobacteria	Corynebacteriales	Rhodococcus	1793160	13289	1	1	1	1	1	1	1	0
Mycobacterium orygis 112400015	Actinobacteria	Corynebacteriales	Mycobacterium	1305739	4002	1	1	1	1	0	0	0	0
Pseudomonas sp. ABFPK	Proteobacteria	Pseudomonadales	Pseudomonas	1636605	8140	1	1	1	1	0	0	0	0
