Species	Phylum	Order	Genus	TaxID	Num_Prot	B12_producer	niacin_synthesis	biotin_synthesis	anaerobic_synthesis	aerobic_synthesis	early_pathway	late_pathway	MCM_B12_related	METE_B12_related	METH_B12_related	RNR_I_B12_related	RNR_II_B12_related	bluB_B12_related	btuB_B12_transport	btuC_B12_transport	btuD_B12_transport	btuF_B12_transport	cbiZ_2_B12_related	cobA_aerobe_aerobic_synthesis	cobI_aerobic_synthesis	cobG_aerobic_synthesis	cobJ_aerobic_synthesis	cobM_aerobic_synthesis	cobF_aerobic_synthesis	cobK_aerobic_synthesis	cobL_aerobic_synthesis	cobH_aerobic_synthesis	cobB_aerobic_synthesis	cobN_aerobic_synthesis	cobS_aerobe_aerobic_synthesis	cobT_aerobe_aerobic_synthesis	cobR_aerobic_synthesis	cobO_aerobic_synthesis	cobQ_aerobic_synthesis	cobD_aerobic_synthesis	cobP_aerobic_synthesis	cobV_aerobic_synthesis	cobU_aerobe_aerobic_synthesis	cysG_anaerobic_synthesis	cbiXL_anaerobic_synthesis	cbiK_anaerobic_synthesis	cbiL_anaerobic_synthesis	cbiH_anaerobic_synthesis	cbiF_anaerobic_synthesis	cbiG_anaerobic_synthesis	cbiD_anaerobic_synthesis	cbiJ_anaerobic_synthesis	cbiE_anaerobic_synthesis	cbiT_anaerobic_synthesis	cbiC_anaerobic_synthesis	cbiA_anaerobic_synthesis	fldA_anaerobic_synthesis	cobA_anaerobe_anaerobic_synthesis	cbiP_anaerobic_synthesis	cbiB_anaerobic_synthesis	cobU_anaerobe_anaerobic_synthesis	cobS_anaerobe_anaerobic_synthesis	cobT_anaerobe_anaerobic_synthesis	cobC_anaerobic_synthesis	cblT_B12_related	cblS_B12_related	bzaA_anaerobic_DMB	bzaB_anaerobic_DMB	bzaC_anaerobic_DMB	bzaD_anaerobic_DMB	bzaE_anaerobic_DMB	B12_related	B12_transport	not_in
Serratia grimesii	Proteobacteria	Enterobacteriales	Serratia	82995	11018	0	1	1	5	4	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	11	4	"cobV,cobP,cobQ,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobL,cobN,cobH,cobI,cobJ,cobK,kmo,had,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Serratia plymuthica	Proteobacteria	Enterobacteriales	Serratia	82996	22658	0	1	1	5	4	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	12	4	"cobV,cobP,cobQ,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobL,cobN,cobH,cobI,cobJ,cobK,kmo,had,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Hymenobacter sp. MIMtkLc17	Bacteroidetes	Cytophagales	Hymenobacter	1629124	5123	0	0	0	9	8	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	9	4	"bioB,cobR,cbiXL,cbiD,cobF,cobG,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,hpaB,cblS,bioD2,bioD1,bio1,bzaE,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiC,METE,nadA,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Roseburia intestinalis	Firmicutes	Clostridiales	Roseburia	166486	3468	0	1	0	13	8	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	3	2	"bioB,RNR_II,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobF,cobG,pabC,cobN,cobO,cobH,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cblT,cbiP,cbiZ,nadX,bzaC,cbiC,MCM,kynu,METE,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiZ_2,nrdJ_alt,nrdZ"
Pseudomonas sp. BRG-100	Proteobacteria	Pseudomonadales	Pseudomonas	1524267	9095	1	1	1	17	17	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	9	4	"cobV,cbiXL,cbiD,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiK,bzaC,MCM,cobT_aerobe,cbiZ_2,nrdJ_alt"
Streptomyces himastatinicus	Actinobacteria	Streptomycetales	Streptomyces	998084	7938	0	1	0	10	13	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	10	2	"cobV,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobI,cobJ,nrdD,nrdG,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiK,bzaC,cbiG,cbiB,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Thermus aquaticus	Deinococcus-Thermus	Thermales	Thermus	271	7225	1	1	0	16	12	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	7	3	"bioB,cobV,bluB,cobS_anaerobe,btuB,cobF,cobG,pabC,cobN,cobI,cobK,nrdB,nrdD,nrdF,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiB,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Thermus thermophilus	Deinococcus-Thermus	Thermales	Thermus	274	11489	1	1	0	15	11	1	0	1	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	6	3	"RNR_II,cobV,cobR,cbiXL,cobS_anaerobe,btuB,cbiD,cobF,cobG,cobN,cobI,cobK,nrdB,nrdD,nrdF,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt,nrdZ"
Thermus filiformis	Deinococcus-Thermus	Thermales	Thermus	276	4486	1	1	0	16	12	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	7	3	"bioB,cobV,bluB,cobS_anaerobe,btuB,cobF,cobG,cobN,cobI,cobK,nrdB,nrdD,nrdF,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiL,cbiZ,nadX,cbiJ,cbiK,bzaC,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Meiothermus ruber	Deinococcus-Thermus	Thermales	Meiothermus	277	7721	0	0	0	7	5	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	9	3	"bioB,cobV,cobQ,bluB,cbiXL,cobS_anaerobe,btuB,cbiD,cobF,cobG,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdB,nrdD,nrdG,kmo,had,cblS,bioD2,bioD1,bio1,bzaE,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiC,nadC,nadA,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Listeria fleischmannii	Firmicutes	Bacillales	Listeria	1069827	6943	0	0	0	5	2	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	3	"bioB,cobV,cobP,cobQ,cobR,bluB,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,cobB,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,cobT_anaerobe,cobT_alt_dmb,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,nadC,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Clostridium sp. 12(A)	Firmicutes	Clostridiales	Clostridium	1163671	3804	1	0	0	18	13	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	10	2	"cobV,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobF,cobG,pabC,cobN,kmo,had,cblS,bioD2,bioD1,bio1,bioF,fldA,cobS_aerobe,cblT,cbiZ,nadX,bzaC,MCM,kynu,METE,nadC,nadA,nadB,cobT_aerobe,cbiZ_2,nrdJ_alt"
